"gene","Gn","Gc","Gmax","Gsum","N_term_thread","C_term_thread","ENT.ID","num_zipper_nc","num_loop_contacting_res","num_cross_nearest_neighbors","min_N_prot_depth_left","min_C_prot_depth_right","Travatos_G","Length","Entanglement","Cov_Entanglement","Total_Mutations_n","mean_SASA","disease","Essential","p1","p0","Delta_2RF"
"A0A024RBG1",0.72566,0.83637,0.83637,1.15202,1,1,2,15,43,22,0.204419889502762,0.453038674033149,1.235,181,"Yes","No",0,70.6574318238122,"No","No",0.028,0.281,-0.253
"A0A075B759",0.77679,1.57412,1.57412,1.77401,1,2,2,69,39,32,0.603658536585366,0.231707317073171,1.748,164,"Yes","No",1,47.4918561727805,"No","NT",0.019,0.583,-0.564
"A0A087X1C5",0.13375,0.73557,0.73557,0.78425,0,3,4,7,107,46,0,0.41747572815534,1.062,515,"Yes","No",0,48.9523698783806,"No","NT",0.138,0.17,-0.032
"A0A096LNP1",0.06648,0.69919,0.69919,0.76567,0,1,1,1,12,16,0,0.2,0.794,70,"Yes","No",0,105.262224672,"No","NT",0.069,0.022,0.047
"A0A0B4J2A2",0.77625,1.56771,1.56771,1.77186,1,2,2,71,38,32,0.603658536585366,0.231707317073171,1.743,164,"Yes","No",0,47.1071245193902,"No","NT",0.036,0.441,-0.405
"A0A0G2JMH6",0.65841,0.04822,0.65841,0.70663,1,0,1,1,45,20,0.224409448818898,0,0.763,254,"Yes","No",0,76.0944704684095,"Yes","NT",0.804,0.529,0.275
"A0A0G2JPC4",0.9491,0.66068,0.9491,0.95505,1,1,3,2,38,25,0.408,0.453333333333333,0.981,375,"Yes","No",0,91.1824378045867,"No","NT",0.041,0.086,-0.045
"A0A0K2S4Q6",0.72229,0.04583,0.72229,0.76812,1,0,1,1,32,27,0.26865671641791,0,0.752,201,"Yes","No",2,81.6564605072637,"No","No",0.069,0.336,-0.267
"A0A1B0GTL2",0.76668,0.11969,0.76668,0.88637,1,0,1,14,32,18,0.571428571428571,0,1.33,189,"Yes","Yes",0,88.1725351096296,"No","No",0.133,0.102,0.031
"A0AVI2",1.16794,1.02246,1.16794,2.11374,1,5,28,41,144,84,0.895964997569276,0.861934856587263,1.858,2057,"Yes","No",19,60.8845077992815,"No","No",0.201,0.791,-0.59
"A0AVT1",1.01949,0.95181,1.01949,1.7193,3,1,10,36,205,42,0.679657794676806,0.726235741444867,1.388,1052,"Yes","No",2,49.5520869603726,"No","No",0.121,0.14,-0.019
"A0FGR8",0.88189,0.93068,0.93068,1.69777,1,1,7,20,79,43,0.893593919652552,0.516829533116178,1.376,921,"Yes","No",0,76.2655150284821,"No","No",0.084,0.202,-0.118
"A0FGR9",0.89664,0.93419,0.93419,1.78416,1,1,6,22,74,43,0.892776523702032,0.589164785553047,1.512,886,"Yes","No",8,79.3287039464108,"No","No",0.175,0.447,-0.272
"A0PG75",0.12228,0.61447,0.61447,0.73675,0,1,1,1,32,25,0,0.062730627306273,0.723,271,"Yes","No",0,70.7590423228635,"No","No",0.066,0.107,-0.041
"A0PJE2",0.74299,0.85986,0.85986,0.87126,1,1,3,20,76,23,0.135646687697161,0.353312302839117,1.262,317,"Yes","No",3,44.6918610651041,"No","No",0.148,0.549,-0.401
"A0PJK1",1.94363,1.53879,1.94363,2.1457,3,3,7,213,162,63,0.156040268456376,0.513422818791946,2.487,596,"Yes","Yes",4,42.0906121910772,"No","No",0.147,0.233,-0.086
"A0PJX2",0.80573,0,0.80573,0.80573,1,0,1,1,42,30,0.493023255813954,0,0.948,215,"Yes","No",6,66.9447688090047,"No","No",0.193,0.392,-0.199
"A0PJX8",0.72929,0.71615,0.72929,0.95342,1,1,3,22,65,20,0.285714285714286,0.620991253644315,1.281,343,"Yes","No",3,64.181179878309,"No","No",0.135,0.122,0.013
"A0PJZ3",0.95596,0.78547,0.95596,1.02368,3,1,4,46,68,42,0.539503386004515,0.28216704288939,1.181,443,"Yes","No",1,66.793050684447,"No","No",0.129,0.111,0.018
"A1A4S6",0.81324,0.74198,0.81324,1.40536,3,1,6,20,51,26,0.932569974554707,0.552162849872774,0.975,786,"Yes","No",4,76.6913476987786,"Yes","No",0.785,0.386,0.399
"A1A4Y4",0.73439,0.12382,0.73439,0.85821,1,0,1,4,24,24,0.204419889502762,0,1.013,181,"Yes","No",3,65.3957230772376,"Yes","No",0.785,0.502,0.283
"A1A5B4",0.77669,1.10449,1.10449,1.54162,1,3,6,135,143,88,0.301790281329923,0.898976982097187,1.511,782,"Yes","No",10,60.2546601912609,"No","No",0.2,0.759,-0.559
"A1A5C7",0.75639,0.6967,0.75639,1.38284,1,1,4,137,113,38,0.635568513119534,0.578717201166181,1.577,686,"Yes","No",1,65.9452812945481,"No","No",0.128,0.087,0.041
"A1IGU5",0.34626,0.75174,0.75174,1.06374,0,1,3,7,31,17,0,0.173333333333333,0.948,675,"Yes","No",10,70.0253472613481,"No","No",0.252,0.736,-0.484
"A1KZ92",0.86317,0.84488,0.86317,1.64051,1,1,4,196,126,41,0.724538619275461,0.183185235816815,3.051,1463,"Yes","Yes",38,54.2910635901025,"No","No",0.322,0.927,-0.605
"A1L0T0",0.84719,1.22542,1.22542,1.23216,3,1,7,78,105,48,0.734177215189873,0.674050632911392,1.581,632,"Yes","No",10,45.58360326025,"No","No",0.204,0.44,-0.236
"A1L167",0.60319,0.08257,0.60319,0.68576,1,0,1,9,47,17,0.472049689440994,0,0.856,161,"Yes","No",0,58.8381402096273,"No","No",0.157,0.078,0.079
"A1L3X0",0.05015,0.83034,0.83034,0.88049,0,1,1,5,61,23,0,0.551601423487544,0.841,281,"Yes","No",1,61.46567815121,"No","No",0.143,0.06,0.083
"A1L453",0.76239,0.95149,0.95149,1.53344,1,1,6,17,94,46,0.273006134969325,0.530674846625767,1.253,326,"Yes","No",7,61.8627321006319,"No","No",0.21,0.138,0.072
"A1L4K1",0.7679,0.95571,0.95571,1.00248,3,1,6,20,61,41,0.834445927903872,0.034712950600801,1.372,749,"Yes","No",5,83.9577179743818,"No","No",0.197,0.305,-0.108
"A1L4L8",0.06368,0.63611,0.63611,0.69979,0,1,1,10,24,18,0,0.15819209039548,0.874,177,"Yes","No",2,93.5962462568136,"No","No",0.131,0.185,-0.054
"A1Z1Q3",0.71163,0.68509,0.71163,0.90514,1,1,3,8,53,28,0.207058823529412,0.675294117647059,1.136,425,"Yes","No",9,90.5597993249647,"Yes","No",0.946,0.491,0.455
"A2A2Y4",0.70883,0.09082,0.70883,0.76883,1,0,2,16,53,26,0.187604690117253,0,1.115,597,"Yes","No",1,77.7747452244389,"No","No",0.075,0.175,-0.1
"A2A368",0.13152,0.64059,0.64059,0.77211,0,1,1,1,26,22,0,0.151234567901234,0.65,324,"Yes","No",1,81.0810964928704,"No","No",0.045,0.069,-0.024
"A2RRH5",0.6452,0.8006,0.8006,0.85651,1,3,3,6,62,33,0.626360338573156,0.536880290205562,1.521,827,"Yes","No",0,54.5188804291245,"No","No",0.137,0.123,0.014
"A2RRP1",0.67539,0.94823,0.94823,0.98502,1,3,4,15,56,38,0.315478700970055,0.781948544917756,1.223,2371,"Yes","No",176,62.9841851863028,"Yes","No",0.945,0.918,0.0269999999999999
"A2RTX5",0.82291,0.89398,0.89398,1.71689,3,1,9,30,75,51,0.874064837905237,0.572319201995013,1.171,802,"Yes","No",3,55.8187739888554,"No","No",0.144,0.463,-0.319
"A2RU49",0.21231,0.79403,0.79403,0.90094,0,1,2,15,55,24,0,0.662198391420912,1.203,373,"Yes","No",3,47.4674504185523,"No","No",0.128,0.436,-0.308
"A2RU67",0.87878,0.05166,0.87878,0.93044,1,0,1,8,53,19,0.242765273311897,0,1.048,622,"Yes","No",7,66.1702531192058,"No","No",0.196,0.671,-0.475
"A2RUC4",1.87262,1.87101,1.87262,2.27837,2,2,4,54,90,43,0.507936507936508,0.253968253968254,2.445,315,"Yes","No",1,54.5744472693079,"No","No",0.083,0.001,0.082
"A2RUH7",0.68214,0.08993,0.68214,0.77207,1,0,1,5,41,24,0.508474576271186,0,0.856,354,"Yes","No",5,68.2712027974576,"No","No",0.194,0.769,-0.575
"A2RUS2",0.72113,0.14711,0.72113,0.86824,1,0,2,4,62,24,0.748747913188648,0,1.063,1198,"Yes","No",16,56.0320465418197,"No","No",0.276,0.846,-0.57
"A2RUU4",0.76756,0.15638,0.76756,0.8145,1,0,2,3,25,13,0.586776859504132,0,0.869,121,"Yes","No",2,95.3604486391736,"No","No",0.126,0.462,-0.336
"A2VDF0",1.59403,0.92955,1.59403,1.82021,2,1,3,70,44,44,0.194805194805195,0.155844155844156,2.005,154,"Yes","No",0,56.2302208843507,"No","No",0.085,0.192,-0.107
"A3KMH1",1.19895,1.54032,1.54032,2.73927,1,3,21,37,158,71,0.901312335958005,0.874540682414698,1.658,1905,"Yes","No",14,53.6198627676021,"Yes","No",0.793,0.636,0.157
"A4D0S4",0.90194,1.03252,1.03252,1.22244,1,1,7,14,68,27,0.352072685973878,0.873367404883589,1.321,1761,"Yes","No",20,68.9847818022328,"No","No",0.275,0.695,-0.42
"A4D0V7",0.78946,0.64457,0.78946,0.88823,1,1,7,45,80,33,0.872319688109162,0.353801169590643,1.287,1026,"Yes","No",11,66.5476973110585,"No","No",0.232,0.539,-0.307
"A4D126",0.90843,0.24259,0.90843,1.15102,3,0,4,58,75,42,0.634146341463415,0,1.186,451,"Yes","No",17,57.8075104665854,"Yes","NT",0.904,0.831,0.0730000000000001
"A4D161",0.75622,0.09389,0.75622,0.85011,1,0,1,37,42,28,0.181208053691275,0,1.078,298,"Yes","No",3,73.354078365906,"No","No",0.144,0.082,0.062
"A4D1B5",0.64482,1.0513,1.0513,1.0513,1,1,2,3,66,22,0.0585480093676815,0.545667447306792,1.112,854,"Yes","No",14,53.2778545859555,"No","No",0.268,0.858,-0.59
"A4D1E9",0.79964,0.94491,0.94491,0.95818,1,1,4,65,46,24,0.392764857881137,0.764857881136951,1.262,387,"Yes","No",5,60.7342165691628,"No","No",0.201,0.362,-0.161
"A4D1S5",0.71617,0.19358,0.71617,0.90975,1,0,1,23,49,24,0.101382488479263,0,1.289,217,"Yes","No",1,62.8378777300276,"No","No",0.076,0.141,-0.065
"A4D1T9",0.63516,0.71094,0.71094,1.06093,1,1,5,6,80,27,0.182978723404255,0.561702127659575,1.646,235,"Yes","No",0,64.1303785788511,"No","No",0.116,0.091,0.025
"A4D1U4",0.75524,0.16806,0.75524,0.9233,1,0,1,46,43,29,0.18021978021978,0,1.017,455,"Yes","No",0,67.275744799156,"No","No",0.085,0.256,-0.171
"A4D2B0",0.68472,0.07039,0.68472,0.75511,1,0,1,2,44,20,0.421052631578947,0,0.91,266,"Yes","No",1,56.5445561356617,"No","No",0.074,0.315,-0.241
"A4FU01",0.69667,0.64378,0.69667,0.91348,1,1,2,19,125,21,0.141043723554302,0.473906911142454,1.214,709,"Yes","No",1,60.0040084508999,"No","No",0.121,0.136,-0.015
"A4GXA9",0.76325,0.02058,0.76325,0.78383,1,0,1,19,24,21,0.20844327176781,0,1.018,379,"Yes","No",4,75.7403127240106,"No","No",0.116,0.419,-0.303
"A5A3E0",0.82317,0.05237,0.82317,0.87554,1,0,1,6,34,16,0.682790697674419,0,0.982,1075,"Yes","No",4,81.9189617898921,"No","No",0.101,0.101,0
"A5D6W6",0.75329,0.61198,0.75329,0.79468,1,1,3,34,68,22,0.674657534246575,0.174657534246575,1.124,292,"Yes","No",2,64.9350253277055,"No","No",0.126,0.259,-0.133
"A5D8T8",0.29018,0.6703,0.6703,0.91818,0,1,2,17,26,23,0,0.497757847533632,1.56,446,"Yes","Yes",5,70.7179981662601,"No","No",0.123,0.759,-0.636
"A5LHX3",0.67486,0.03885,0.67486,0.71371,1,0,1,21,40,33,0.176666666666667,0,0.995,300,"Yes","No",7,72.2207060702933,"No","No",0.267,0.48,-0.213
"A5PLL7",0.20181,0.67143,0.67143,0.87324,0,1,1,35,69,18,0,0.348148148148148,1.02,270,"Yes","No",2,61.2525760134815,"No","No",0.149,0.253,-0.104
"A5PLN9",0.7491,0.76788,0.76788,0.92602,1,1,3,2,46,23,0.808153477218225,0.393285371702638,0.955,417,"Yes","No",1,61.7699173311031,"No","No",0.11,0.135,-0.025
"A5X5Y0",0.69327,0.81644,0.81644,0.93682,1,1,3,2,70,25,0.146929824561403,0.651315789473684,0.86,456,"Yes","No",10,70.1498153656798,"Yes","No",0.787,0.893,-0.106
"A5YKK6",0.70403,0.18291,0.70403,0.79818,1,0,2,8,63,24,0.601430976430976,0,0.986,2376,"Yes","No",19,62.7151999420471,"Yes","Yes",0.888,0.841,0.047
"A5YM72",0.8189,0.99651,0.99651,1.07441,1,1,8,18,69,30,0.737605804111245,0.750906892382104,1.246,827,"Yes","No",4,45.7678658754075,"No","No",0.167,0.597,-0.43
"A6NC42",0.03238,0.80143,0.80143,0.83381,0,1,1,12,31,22,0,0.405172413793103,0.964,116,"Yes","No",0,76.9093495303448,"No","No",0.113,0.07,0.043
