"gene","Delta_2RF","euclidean_dist","Gn","Gc","Gmax","Gsum","N_term_thread","C_term_thread","ENT.ID","num_zipper_nc","num_loop_contacting_res","num_cross_nearest_neighbors","min_N_prot_depth_left","min_C_prot_depth_right","Travatos_G","Length","Entanglement","Cov_Entanglement","Total_Mutations_n","mean_SASA","disease","Essential","gene_ctrl","Gn_ctrl","Gc_ctrl","Gmax_ctrl","Gsum_ctrl","N_term_thread_ctrl","C_term_thread_ctrl","ENT.ID_ctrl","num_zipper_nc_ctrl","num_loop_contacting_res_ctrl","num_cross_nearest_neighbors_ctrl","min_N_prot_depth_left_ctrl","min_C_prot_depth_right_ctrl","Travatos_G_ctrl","Length_ctrl","Entanglement_ctrl","Cov_Entanglement_ctrl","Total_Mutations_n_ctrl","mean_SASA_ctrl","disease_ctrl","Essential_ctrl"
"P13804",0.868,0.138791780230294,0.87323,0.93931,0.93931,1.63398,5,1,6,49,72,60,0.654654654654655,0.504504504504504,1.24,333,"Yes","No",8,54.2209922547507,"Yes","No","O76027",0,0,0,0,0,0,0,0,0,0,0,0,0,345,"No","No",5,54.2637098223478,"No","No"
"P54652",0.862,0.0856239493467007,0.76668,0.23312,0.76668,0.8634,1,0,4,15,108,25,0.6338028,0,1.151,639,"Yes","No",1,49.6850239220438,"Yes","No","Q9UK73",0,0,0,0,0,0,0,0,0,0,0,0,0,627,"No","No",1,48.3598745856491,"No","No"
"Q13609",0.841,0.088102979078276,0.93037,0.89471,0.93037,1.82508,1,1,3,15,39,44,0.08196721,0.09180328,1.171,305,"Yes","No",8,54.4207679992525,"Yes","No","Q8NHY5",0,0,0,0,0,0,0,0,0,0,0,0,0,278,"No","No",7,54.497517107482,"No","No"
"Q92925",0.825,0.0269817558485022,0.67103,0.87112,0.87112,0.90089,1,1,3,2,42,23,0.5856874,0.2259887,1.029,531,"Yes","No",4,91.1834819340414,"Yes","No","Q68DY1",0,0,0,0,0,0,0,0,0,0,0,0,0,528,"No","No",4,90.7520138513258,"No","No"
"Q99616",0.82,0.0616675967553117,0.14034,0.61586,0.61586,0.7562,0,1,1,9,20,14,0,0.244898,0.95,98,"Yes","No",1,89.3993170046531,"Yes","No","Q6UW32",0,0,0,0,0,0,0,0,0,0,0,0,0,110,"No","No",2,88.9677452636364,"No","No"
"P32119",0.813,0.0130729719067172,0.72341,0.95527,0.95527,1.63059,1,1,2,24,52,31,0.2121212,0.479798,1.304,198,"Yes","No",1,51.5585205480404,"Yes","No","P61086",0,0,0,0,0,0,0,0,0,0,0,0,0,200,"No","No",1,51.3597668356,"No","No"
"P28702",0.805,0.0595769906343629,0.08191,0.71782,0.71782,0.79973,0,1,1,5,22,16,0,0.515947467166979,0.909,533,"Yes","No",2,84.8127330745141,"Yes","No","C9JN71",0,0,0,0,0,0,0,0,0,0,0,0,0,531,"No","No",2,83.8145455406026,"No","No"
"P15586",0.803,0.110046812872209,0.92373,0.73848,0.92373,1.66221,1,3,4,181,119,61,0.152173913043478,0.364130434782609,1.777,552,"Yes","No",4,50.6811902598007,"Yes","No","A6NHZ5",0,0,0,0,0,0,0,0,0,0,0,0,0,514,"No","No",4,50.2155704101479,"No","No"
"Q16836",0.802,0.134892634689999,0.9555,0.18262,0.9555,1.05361,3,0,2,23,50,36,0.09872611,0,1.242,314,"Yes","No",4,53.287692378,"Yes","No","Q5JTN6",0,0,0,0,0,0,0,0,0,0,0,0,0,314,"No","No",5,51.1468629202866,"No","No"
"P11802",0.802,0.197859228914244,0.66305,0.70708,0.70708,0.72488,1,1,2,4,39,26,0.762376237623762,0.696369636963696,0.889,303,"Yes","No",5,54.2618392111551,"Yes","Yes","P55735",0,0,0,0,0,0,0,0,0,0,0,0,0,322,"No","No",1,55.3380139301553,"No","Yes"
"O95045",0.8,0.130798704697751,0.83361,0.94248,0.94248,1.00777,1,1,4,50,66,26,0.50788643533123,0.145110410094637,1.566,317,"Yes","No",7,54.7840969857729,"Yes","No","P02750",0,0,0,0,0,0,0,0,0,0,0,0,0,347,"No","No",6,56.2915598355043,"No","No"
"P07327",0.8,0.133152383318577,1.03339,0.82372,1.03339,1.85711,3,1,5,26,102,43,0.522666666666667,0.621333333333333,1.278,375,"Yes","No",1,42.5637786763307,"Yes","No","O43813",0,0,0,0,0,0,0,0,0,0,0,0,0,399,"No","No",1,40.6299376674386,"No","No"
"P11142",0.8,0.170528244007815,0.76734,0.23459,0.76734,0.87463,1,0,4,15,102,25,0.622291021671827,0,1.135,646,"Yes","No",0,50.5868509628638,"Yes","No","Q96JP0",0,0,0,0,0,0,0,0,0,0,0,0,0,617,"No","No",1,48.1797026970502,"No","No"
"Q9GZX6",0.799,0.0204094108993251,0.97835,0,0.97835,0.97835,1,0,1,20,47,25,0.5139665,0,1.274,179,"Yes","Yes",2,65.5309725812291,"Yes","No","Q9NP86",0,0,0,0,0,0,0,0,0,0,0,0,0,173,"No","No",2,65.336371466474,"No","No"
"Q9Y272",0.798,0.056317204576346,0.84563,0.81374,0.84563,0.93619,3,1,3,50,68,39,0.09964413,0.7366548,1.552,281,"Yes","No",0,66.0522907134377,"Yes","No","Q9BR61",0,0,0,0,0,0,0,0,0,0,0,0,0,282,"No","No",0,65.1056890647518,"No","No"
"P33176",0.796,0.15420944325878,1.24221,0.31556,1.24221,1.55777,1,0,3,38,67,32,0.1370717,0,1.342,963,"Yes","No",7,84.8067280350571,"Yes","No","Q8TF20",0,0,0,0,0,0,0,0,0,0,0,0,0,911,"No","No",8,85.1914444531284,"No","No"
"P59910",0.795,0.143954843777888,0.00211,0.62504,0.62504,0.62715,0,1,1,3,28,24,0,0.3259494,0.879,316,"Yes","No",7,69.228769467557,"Yes","No","Q15238",0,0,0,0,0,0,0,0,0,0,0,0,0,335,"No","No",9,70.8974189164836,"No","No"
"P27695",0.793,0.0655094692282987,0.86444,0.92394,0.92394,1.75728,1,1,4,9,64,44,0.830188679245283,0.113207547169811,1.431,318,"Yes","No",5,58.3684172892327,"Yes","No","Q8WXH4",0,0,0,0,0,0,0,0,0,0,0,0,0,323,"No","No",5,59.4453679205573,"No","No"
"P06733",0.792,0.227589219218733,1.11423,1.20387,1.20387,1.42411,1,3,4,58,97,47,0.347926267281106,0.0967741935483871,1.59,434,"Yes","No",0,38.024988024129,"Yes","No","Q6ZV70",0,0,0,0,0,0,0,0,0,0,0,0,0,420,"No","No",0,41.7977803761952,"No","No"
"O75791",0.789,0.0457647976902522,0.70399,0.80292,0.80292,1.05227,1,1,3,2,44,20,0.836363636363636,0.863636363636364,0.889,330,"Yes","No",4,86.1619934738485,"Yes","No","Q9UBM4",0,0,0,0,0,0,0,0,0,0,0,0,0,332,"No","No",5,86.0441166668675,"No","No"
"P16519",0.788,0.110677915914933,1.14603,1.894,1.894,2.78742,1,2,10,49,134,53,0.800940438871473,0.63166144200627,2.082,638,"Yes","Yes",1,48.3156113528934,"Yes","No","Q8IUR7",0,0,0,0,0,0,0,0,0,0,0,0,0,673,"No","No",0,47.8994734344844,"No","No"
"Q9BZE9",0.786,0.102824284716783,0.80077,0.70154,0.80077,1.13675,1,1,3,18,50,21,0.5858951,0.7070524,1.47,553,"Yes","No",7,88.8969285351718,"Yes","No","Q9Y2P0",0,0,0,0,0,0,0,0,0,0,0,0,0,537,"No","No",5,88.5184235564246,"No","No"
"P05177",0.784,0.0206942854643409,0.64695,0.78411,0.78411,0.83966,1,3,3,32,117,51,0.205426356589147,0.211240310077519,1.14,516,"Yes","No",3,48.486987755155,"Yes","No","Q9Y575",0,0,0,0,0,0,0,0,0,0,0,0,0,518,"No","No",3,48.1517402649459,"No","No"
"P22392",0.784,0.017862202593781,0.95553,0.78063,0.95553,1.33165,1,1,2,33,48,26,0.0657894736842105,0.486842105263158,1.541,152,"Yes","No",0,58.7818032521053,"Yes","No","Q8NDC4",0,0,0,0,0,0,0,0,0,0,0,0,0,146,"No","No",0,58.8830915563014,"No","No"
"P60568",0.78,0.0439464620195184,0.63249,0.01013,0.63249,0.64262,1,0,1,2,33,17,0.4248366,0,0.874,153,"Yes","No",1,69.4778086415686,"Yes","No","P07998",0,0,0,0,0,0,0,0,0,0,0,0,0,156,"No","No",1,68.7518878478205,"No","No"
"P09238",0.78,0.0866852750607164,0.99818,0.83753,0.99818,1.83571,1,1,5,57,87,29,0.626050420168067,0.590336134453782,1.425,476,"Yes","No",4,54.6889190506723,"Yes","No","Q6NXE6",0,0,0,0,0,0,0,0,0,0,0,0,0,501,"No","No",5,54.2801108727944,"No","No"
"O15116",0.779,0.0230048120398516,0.90284,0.06162,0.90284,0.96446,3,0,2,20,30,27,0.135338345864662,0,1.151,133,"Yes","No",1,77.3595870033835,"Yes","No","Q9H112",0,0,0,0,0,0,0,0,0,0,0,0,0,138,"No","No",1,77.6666035511304,"No","No"
"Q96EP1",0.779,0.0120676624914838,0.25516,0.7541,0.7541,0.8856,0,1,3,8,54,21,0,0.8222892,0.909,664,"Yes","No",3,87.401625710256,"Yes","No","P17021",0,0,0,0,0,0,0,0,0,0,0,0,0,662,"No","No",3,87.2217790772054,"No","No"
"P12268",0.779,0.0530228505879281,1.15874,0.78233,1.15874,1.15874,1,3,6,19,84,44,0.634241245136187,0.0836575875486381,1.549,514,"Yes","No",3,49.3120407345331,"Yes","No","Q16401",0,0,0,0,0,0,0,0,0,0,0,0,0,504,"No","No",2,49.2541335039802,"No","No"
"Q13547",0.777,0.070341634468635,0.93696,0.7342,0.93696,1.53868,1,1,7,58,94,39,0.5435685,0.7676349,1.168,482,"Yes","No",1,60.2297324643859,"Yes","No","O95376",0,0,0,0,0,0,0,0,0,0,0,0,0,493,"No","No",1,61.2937491445963,"No","No"
"Q05513",0.774,0.0340245503862583,0.8597,1.04862,1.04862,1.07584,3,1,5,37,62,32,0.4324324,0.4442568,1.71,592,"Yes","No",1,64.5795338566892,"Yes","No","O75529",0,0,0,0,0,0,0,0,0,0,0,0,0,589,"No","No",1,64.0246887274024,"No","No"
"O43295",0.773,0.398589969059495,0.57943,0.83807,0.83807,1.4175,0,1,3,14,65,21,0,0.475887170154686,1.025,1099,"Yes","No",7,90.9145667203239,"Yes","No","Q5T1B0",0,0,0,0,0,0,0,0,0,0,0,0,0,1012,"No","No",12,87.1869863845059,"No","No"
"Q9Y6M1",0.773,0.143694033241429,0.88981,0.87908,0.88981,1.48684,1,1,6,8,71,38,0.4707846,0.9298831,1.043,599,"Yes","No",1,72.3218880620968,"Yes","No","Q9NVH1",0,0,0,0,0,0,0,0,0,0,0,0,0,559,"No","No",3,72.4004882915492,"No","No"
"O94788",0.772,0.161121397500996,1.0317,0.72192,1.0317,1.03926,1,1,6,25,138,28,0.561776061776062,0.540540540540541,1.543,518,"Yes","No",8,44.1298345046911,"Yes","No","Q5R3I4",0,0,0,0,0,0,0,0,0,0,0,0,0,469,"No","No",9,42.930030812209,"No","No"
"Q8NEX9",0.771,0.314907544816578,1.12789,0.16566,1.12789,1.19921,1,0,3,20,65,28,0.5079872,0,1.201,313,"Yes","No",11,53.5429146594888,"Yes","No","E5RJM6",0,0,0,0,0,0,0,0,0,0,0,0,0,399,"No","No",8,56.0915614561403,"No","No"
"P09104",0.769,0.319371626745106,1.11415,1.06268,1.11415,1.27886,1,3,4,54,87,48,0.347926267281106,0.0967741935483871,1.594,434,"Yes","No",0,38.009755372318,"Yes","No","P13489",0,0,0,0,0,0,0,0,0,0,0,0,0,461,"No","No",5,41.6161877805206,"No","No"
"P25774",0.768,0.0670573320390291,0.81086,1.5709,1.5709,1.61956,1,3,4,44,53,49,0.758308157099698,0.0151057401812688,2.828,331,"Yes","Yes",4,51.2338972930997,"Yes","No","Q9UHP6",0,0,0,0,0,0,0,0,0,0,0,0,0,348,"No","No",4,50.4398580582759,"No","No"
"P02778",0.767,0.0336236274597171,0.01205,0.70446,0.70446,0.71651,0,1,1,7,20,16,0,0.244897959183673,0.932,98,"Yes","No",1,87.8341393622449,"Yes","No","Q9NU23",0,0,0,0,0,0,0,0,0,0,0,0,0,88,"No","No",1,88.1466816045454,"No","No"
"Q8TC71",0.765,0.0601314267152528,0.67478,0.69593,0.69593,0.81192,1,1,3,2,51,20,0.6301115,0.2026022,0.966,538,"Yes","No",5,87.7668697869331,"Yes","No","Q96JC4",0,0,0,0,0,0,0,0,0,0,0,0,0,524,"No","No",4,87.6343785912214,"No","No"
"Q9P1W9",0.765,0.0432332533279811,0.13302,0.71866,0.71866,0.85168,0,1,1,16,40,29,0,0.6302251,0.982,311,"Yes","No",0,57.2516405713826,"Yes","No","Q96BM1",0,0,0,0,0,0,0,0,0,0,0,0,0,317,"No","No",0,56.5813631892114,"No","No"
"Q8N4T4",0.764,0.115107731996937,0.68851,0.75841,0.75841,0.97128,1,1,2,2,36,16,0.7014925,0.1880597,0.83,335,"Yes","No",4,61.044923577403,"Yes","No","Q96CX6",0,0,0,0,0,0,0,0,0,0,0,0,0,371,"No","No",3,61.5912403339084,"No","No"
"P07864",0.764,0.0464996947392533,0.90741,0.05657,0.90741,0.96398,1,0,2,21,56,24,0.5,0,1.155,332,"Yes","No",1,50.9842822843253,"Yes","No","Q8IYX1",0,0,0,0,0,0,0,0,0,0,0,0,0,336,"No","No",2,51.0642638535417,"No","No"
